,Time,Roll1,Pitch1,Yaw1,AccX1,AccY1,AccZ1,RotX1,RotY1,RotZ1,Roll2,Pitch2,Yaw2,AccX2,AccY2,AccZ2,RotX2,RotY2,RotZ2
0,1900-01-01 13:37:26.155,51.09,0.44,0.16,0.01,0.86,0.7,3.63,14.98,-15.96,48.23,-3.61,-0.01,-0.07,0.87,0.77,1.68,10.2,-4.69
1,1900-01-01 13:37:26.249,55.47,-0.95,-2.11,-0.02,0.86,0.59,13.37,9.88,-2.71,45.12,-5.5,-0.73,-0.1,0.76,0.75,0.26,-0.27,0.57
2,1900-01-01 13:37:26.297,58.6,-3.61,-2.36,-0.06,0.87,0.53,-5.72,5.98,-2.51,44.99,-5.99,-0.65,-0.1,0.66,0.65,-2.34,1.44,3.85
3,1900-01-01 13:37:26.416,52.99,-3.96,-2.59,-0.07,0.77,0.58,-15.14,1.31,-1.66,40.58,-8.83,-0.08,-0.14,0.61,0.7,8.38,10.47,-0.46
4,1900-01-01 13:37:26.488,48.1,-2.86,-2.68,-0.05,0.71,0.64,2.63,-2.05,1.03,38.22,-6.94,-0.15,-0.11,0.58,0.73,4.87,10.37,-4.76
5,1900-01-01 13:37:26.535,54.22,-0.46,-2.36,-0.01,0.8,0.58,9.0,-3.08,3.38,46.16,-6.16,-0.89,-0.1,0.68,0.65,4.32,0.95,-4.37
6,1900-01-01 13:37:26.639,55.15,1.77,-1.69,0.03,0.8,0.55,6.34,0.5,-1.7,50.02,-4.64,-1.56,-0.07,0.7,0.59,11.16,5.25,-5.73
7,1900-01-01 13:37:26.677,55.32,-1.78,-1.79,-0.03,0.82,0.57,13.27,3.99,-7.66,49.32,-8.96,-2.43,-0.16,0.76,0.63,12.59,10.14,-8.69
8,1900-01-01 13:37:26.774,61.51,-2.51,-2.8,-0.04,0.89,0.48,10.28,1.08,-4.5,55.28,-12.88,-3.77,-0.24,0.87,0.55,-2.55,-2.88,-1.47
9,1900-01-01 13:37:26.867,59.58,-2.95,-3.33,-0.05,0.83,0.49,4.19,1.6,-3.34,51.1,-10.65,-4.0,-0.16,0.69,0.53,7.69,11.98,-4.05
10,1900-01-01 13:37:26.920,58.6,-3.49,-3.68,-0.06,0.81,0.49,19.1,1.57,-2.98,50.17,-12.35,-4.63,-0.19,0.67,0.52,37.44,27.68,-12.49
11,1900-01-01 13:37:27.031,66.63,-3.47,-3.98,-0.06,0.91,0.39,19.98,-0.04,-3.03,58.0,-18.53,-6.55,-0.33,0.88,0.44,6.76,9.24,-7.43
12,1900-01-01 13:37:27.056,68.8,-3.48,-4.28,-0.06,0.93,0.35,10.08,2.2,-1.05,60.77,-18.97,-7.69,-0.33,0.88,0.37,14.79,10.76,-5.4
13,1900-01-01 13:37:27.156,69.12,-3.73,-4.29,-0.06,0.92,0.34,-5.39,1.76,-2.21,59.3,-18.83,-8.52,-0.3,0.8,0.37,-7.84,3.67,-1.93
14,1900-01-01 13:37:27.304,66.3,-4.31,-4.47,-0.07,0.89,0.38,-5.86,0.29,-1.85,56.23,-19.98,-8.83,-0.33,0.81,0.43,-4.63,4.66,-1.36
15,1900-01-01 13:37:27.304,64.94,-4.45,-4.59,-0.08,0.88,0.41,0.63,-0.27,-0.5,56.1,-19.76,-9.04,-0.33,0.81,0.43,2.63,-0.25,1.21
16,1900-01-01 13:37:27.401,66.93,-4.04,-4.51,-0.07,0.89,0.37,5.02,-1.35,-0.37,58.74,-19.12,-8.87,-0.31,0.81,0.38,3.18,-2.85,1.08
17,1900-01-01 13:37:27.434,68.1,-4.32,-4.4,-0.08,0.93,0.37,1.73,-1.4,2.85,59.56,-19.08,-8.71,-0.33,0.88,0.39,0.23,-5.14,3.74
18,1900-01-01 13:37:27.531,66.78,-4.26,-3.81,-0.08,0.97,0.41,5.88,-6.76,12.4,57.05,-17.1,-8.15,-0.35,0.98,0.54,4.71,-24.62,14.05
19,1900-01-01 13:37:27.624,67.02,1.64,-1.76,0.03,1.07,0.45,-26.15,-22.11,19.06,61.51,-11.84,-6.01,-0.24,1.01,0.49,1.86,-25.61,16.6
20,1900-01-01 13:37:27.671,62.16,6.59,1.33,0.14,1.05,0.54,-20.81,-16.36,26.92,63.7,-6.9,-3.47,-0.15,1.1,0.52,-26.92,-16.62,22.11
21,1900-01-01 13:37:27.765,55.33,14.08,5.63,0.28,0.94,0.59,-27.11,-10.4,35.82,61.26,-0.93,-0.07,-0.02,1.0,0.55,-25.82,-10.21,38.36
22,1900-01-01 13:37:27.859,46.81,24.24,11.32,0.41,0.73,0.54,-31.35,-4.97,37.14,53.32,11.87,5.83,0.18,0.69,0.49,-25.66,-23.19,54.48
23,1900-01-01 13:37:27.906,43.93,26.37,17.2,0.37,0.58,0.47,-32.01,-1.47,26.79,48.67,20.4,14.23,0.23,0.51,0.38,-38.45,-11.18,24.89
24,1900-01-01 13:37:28.029,40.47,27.3,21.5,0.38,0.53,0.5,-22.58,3.89,11.39,45.15,20.24,18.06,0.25,0.52,0.45,-28.0,-2.28,19.37
25,1900-01-01 13:37:28.062,37.13,24.39,23.41,0.37,0.54,0.61,-24.02,5.81,4.03,38.04,22.31,21.03,0.31,0.51,0.57,-33.53,-1.68,15.13
26,1900-01-01 13:37:28.143,34.93,24.2,24.19,0.37,0.52,0.65,-19.27,6.89,1.57,31.39,23.92,23.35,0.33,0.43,0.62,-29.82,1.85,8.79
27,1900-01-01 13:37:28.234,35.06,20.98,24.59,0.34,0.54,0.7,-7.69,7.96,-3.7,34.36,18.06,24.68,0.28,0.51,0.69,-19.74,7.76,2.6
28,1900-01-01 13:37:28.298,32.76,15.11,24.18,0.25,0.52,0.77,-8.08,8.5,-4.47,25.02,13.45,25.07,0.22,0.41,0.84,-17.61,9.76,2.11
29,1900-01-01 13:37:28.409,30.87,14.4,23.65,0.24,0.5,0.81,-2.59,4.53,-2.45,19.03,11.17,25.38,0.2,0.33,0.94,-5.66,-4.92,0.67
30,1900-01-01 13:37:28.520,31.2,13.95,23.44,0.24,0.51,0.8,5.53,-0.36,-4.15,21.1,17.19,25.48,0.27,0.33,0.8,5.14,-10.91,-2.41
31,1900-01-01 13:37:28.520,34.76,12.51,22.96,0.22,0.58,0.81,16.76,3.7,-7.19,28.84,11.93,25.1,0.27,0.62,1.1,3.34,-25.61,1.21
32,1900-01-01 13:37:28.681,29.72,18.28,22.02,0.32,0.51,0.83,14.03,-11.76,0.49,27.99,26.92,25.28,0.44,0.46,0.74,7.76,9.5,-7.6
33,1900-01-01 13:37:28.681,37.32,19.46,22.25,0.33,0.6,0.72,0.42,-4.72,0.21,36.5,19.66,24.11,0.33,0.58,0.72,-3.73,-1.86,2.28
34,1900-01-01 13:37:28.782,35.51,17.97,22.44,0.32,0.59,0.77,-0.11,-0.4,1.46,22.86,25.12,24.45,0.42,0.38,0.8,-6.6,-4.51,3.9
35,1900-01-01 13:37:28.833,35.41,20.12,22.82,0.36,0.6,0.77,1.17,-1.92,0.21,27.26,27.51,25.03,0.46,0.45,0.75,1.07,-1.4,2.02
36,1900-01-01 13:37:28.928,36.7,20.9,23.02,0.36,0.6,0.72,1.8,-1.87,-0.34,27.73,24.9,25.33,0.41,0.46,0.76,-1.15,-1.42,-0.46
37,1900-01-01 13:37:28.972,35.53,20.1,23.12,0.34,0.57,0.73,0.75,1.11,-0.71,26.14,24.9,25.25,0.41,0.43,0.78,-2.21,-8.18,1.89
38,1900-01-01 13:37:29.060,35.56,20.29,23.17,0.35,0.59,0.75,-0.01,1.75,-1.43,27.36,28.38,25.53,0.46,0.45,0.73,0.34,-2.85,2.82
39,1900-01-01 13:37:29.188,36.4,20.43,23.11,0.35,0.59,0.72,0.74,1.41,-1.33,27.91,26.45,25.96,0.44,0.46,0.75,-0.63,3.08,-1.52
40,1900-01-01 13:37:29.308,37.06,18.83,23.07,0.33,0.61,0.74,-0.4,0.73,-1.47,26.68,28.07,25.72,0.46,0.44,0.74,-2.16,1.79,-0.57
41,1900-01-01 13:37:29.308,36.87,20.61,23.0,0.35,0.59,0.71,1.14,-2.71,-1.33,28.49,25.13,25.62,0.42,0.47,0.75,-1.85,5.89,-2.85
42,1900-01-01 13:37:29.361,35.97,19.98,22.96,0.34,0.58,0.73,1.07,-3.08,-1.73,26.82,25.04,25.17,0.41,0.44,0.76,-2.5,3.76,-2.14
43,1900-01-01 13:37:29.455,36.49,19.65,22.85,0.34,0.61,0.74,-0.37,-1.46,-2.12,27.41,26.27,24.84,0.44,0.45,0.76,-2.37,-1.18,0.85
44,1900-01-01 13:37:29.553,35.92,20.51,22.69,0.35,0.59,0.74,-0.44,0.16,-1.92,27.53,25.52,24.96,0.42,0.45,0.76,0.02,1.89,0.36
45,1900-01-01 13:37:29.697,35.87,19.41,22.55,0.33,0.59,0.74,-2.17,3.71,-2.16,26.45,25.73,25.01,0.42,0.43,0.76,-0.69,1.73,0.83
46,1900-01-01 13:37:29.697,36.33,19.48,22.38,0.33,0.59,0.73,-0.37,4.2,-2.96,27.72,25.74,25.13,0.42,0.45,0.75,0.63,0.72,1.29
47,1900-01-01 13:37:29.743,36.76,18.28,22.09,0.31,0.6,0.74,-2.05,3.89,-2.62,27.78,26.48,25.31,0.44,0.46,0.75,-2.09,0.21,1.92
48,1900-01-01 13:37:29.929,36.99,18.15,21.85,0.31,0.6,0.73,-1.29,0.69,-1.3,26.97,27.31,25.6,0.45,0.44,0.75,-1.5,-0.73,1.53
