,Time,Roll1,Pitch1,Yaw1,AccX1,AccY1,AccZ1,RotX1,RotY1,RotZ1,Roll2,Pitch2,Yaw2,AccX2,AccY2,AccZ2,RotX2,RotY2,RotZ2
0,1900-01-01 17:39:29.643,19.73,1.97,27.12,0.03,0.34,0.93,1.37,-1.24,-0.59,13.12,14.73,31.37,0.24,0.22,0.9,-1.36,1.82,-3.39
1,1900-01-01 17:39:29.680,19.54,2.68,27.19,0.05,0.33,0.94,-0.05,0.38,-0.76,13.02,14.83,30.85,0.25,0.22,0.91,-1.63,1.41,0.23
2,1900-01-01 17:39:29.680,20.66,2.36,27.23,0.04,0.35,0.93,-0.79,0.91,-0.57,12.57,14.65,30.87,0.24,0.21,0.91,-2.16,0.95,0.92
3,1900-01-01 17:39:29.761,20.59,2.29,27.3,0.04,0.35,0.93,0.37,-0.6,-0.82,12.92,14.84,31.0,0.25,0.22,0.91,-0.85,1.84,-0.57
4,1900-01-01 17:39:29.782,19.84,2.18,27.34,0.04,0.34,0.94,-0.5,-0.31,-0.95,12.33,14.72,30.91,0.25,0.21,0.91,-1.48,1.27,0.17
5,1900-01-01 17:39:29.878,20.25,2.5,27.35,0.04,0.35,0.94,0.09,-0.32,-1.03,12.99,14.72,30.92,0.25,0.22,0.91,-1.02,1.31,0.11
6,1900-01-01 17:39:30.012,20.48,2.42,27.35,0.04,0.35,0.93,-0.39,0.16,-0.89,12.78,14.65,30.93,0.24,0.21,0.91,-1.47,1.05,0.4
7,1900-01-01 17:39:30.012,20.62,2.21,27.37,0.04,0.35,0.93,-0.5,-0.21,-0.84,12.49,14.65,30.98,0.24,0.21,0.91,-1.49,1.42,-0.56
8,1900-01-01 17:39:30.139,20.39,2.09,27.4,0.04,0.35,0.93,-0.44,-0.5,-1.02,12.42,14.64,30.89,0.25,0.21,0.91,-1.34,1.31,-0.27
9,1900-01-01 17:39:30.160,20.85,2.42,27.41,0.04,0.35,0.93,-0.5,-0.51,-0.98,12.93,14.47,30.84,0.24,0.22,0.91,-1.27,1.54,-0.25
10,1900-01-01 17:39:30.236,20.25,2.47,27.41,0.04,0.35,0.95,-2.73,-0.19,-0.6,12.21,14.37,30.79,0.25,0.21,0.94,-2.56,-0.92,1.51
11,1900-01-01 17:39:30.348,17.75,-2.12,27.48,-0.04,0.32,1.01,1.18,-4.77,0.08,8.93,10.63,31.02,0.19,0.16,1.01,5.48,-6.63,3.24
12,1900-01-01 17:39:30.394,18.01,-4.29,27.65,-0.08,0.33,1.02,4.94,-15.97,-1.46,2.02,13.99,31.5,0.28,0.04,1.12,15.08,-10.24,-5.37
13,1900-01-01 17:39:30.489,18.95,7.61,27.59,0.13,0.33,0.94,-1.48,-23.72,-12.69,14.9,22.93,30.67,0.37,0.24,0.84,5.76,-36.23,-14.84
14,1900-01-01 17:39:30.583,26.84,18.66,25.79,0.3,0.42,0.78,1.82,-12.08,-13.84,42.86,27.58,28.37,0.37,0.54,0.45,8.35,-7.74,-3.85
15,1900-01-01 17:39:30.630,29.87,20.36,23.83,0.32,0.46,0.74,4.08,9.94,-2.27,36.88,23.76,27.77,0.34,0.51,0.59,-5.19,32.79,10.23
16,1900-01-01 17:39:30.724,23.21,10.03,23.64,0.17,0.39,0.9,8.69,11.55,1.92,19.99,17.32,29.33,0.3,0.34,0.89,11.85,49.14,15.82
17,1900-01-01 17:39:30.769,23.59,1.8,24.09,0.03,0.41,0.93,-2.75,6.36,2.46,15.44,5.0,31.74,0.1,0.3,1.08,-21.85,21.25,12.42
18,1900-01-01 17:39:30.887,23.84,-1.51,24.62,-0.03,0.42,0.95,-8.32,4.82,2.77,11.35,5.86,33.62,0.1,0.2,0.97,-8.82,-2.02,6.82
19,1900-01-01 17:39:30.932,20.82,-0.8,25.2,-0.01,0.37,0.96,-1.13,3.89,2.5,7.59,11.17,34.65,0.2,0.14,1.0,-1.82,-7.34,3.09
20,1900-01-01 17:39:31.035,23.6,2.76,25.74,0.05,0.4,0.92,-2.49,1.14,1.18,15.35,12.24,35.11,0.2,0.25,0.89,3.95,-2.74,4.48
21,1900-01-01 17:39:31.088,21.91,4.34,26.08,0.08,0.37,0.92,-5.05,2.24,0.6,14.26,15.01,35.78,0.25,0.24,0.92,2.5,2.28,6.52
22,1900-01-01 17:39:31.272,21.35,4.98,26.33,0.09,0.36,0.92,-0.4,0.93,-0.6,14.92,14.49,36.76,0.24,0.25,0.9,2.13,0.6,2.85
