Time,Roll,Pitch,Yaw
06:17:22.568 PM,-12.5030070098977,4.63119638886568,-19.3139859371762
06:17:22.614 PM,-12.5582290860349,5.00948855023536,-19.1790236970366
06:17:22.679 PM,-12.3789218242531,4.8568983052759,-19.2357841190165
06:17:22.753 PM,-12.974852487656,5.0365904732933,-19.3573272676248
06:17:22.848 PM,-12.5179283058662,5.28568297931718,-19.1556086591791
06:17:22.942 PM,-12.7296369583061,5.41442311512897,-19.3232624647934
06:17:22.989 PM,-13.4979794114809,5.60183899422393,-19.0966196280231
06:17:23.084 PM,-12.8306180283414,5.82687517403163,-18.4430119568709
06:17:23.130 PM,-12.4453426693254,5.82951688507,-17.8528716499112
06:17:23.223 PM,-12.9376319116332,6.07644285348611,-17.6751164016035
06:17:23.318 PM,-13.2029650588492,5.76913266942841,-18.0928539854608
06:17:23.365 PM,-13.6056143774024,6.47753597976477,-18.1115308145607
06:17:23.460 PM,-12.9769720269669,6.1955141238603,-18.2788981146544
06:17:23.553 PM,-13.1227491219384,5.64777695151033,-18.2993012184405
06:17:23.600 PM,-12.8257847019003,5.94489475904223,-18.1832507869808
06:17:23.694 PM,-12.8852853107479,5.8377887949598,-18.3999354565864
06:17:23.741 PM,-12.7707566754942,5.50604613783635,-18.6983346642107
06:17:23.846 PM,-13.1937890141165,5.76531150532157,-19.1602265545028
06:17:23.893 PM,-13.0171488598049,4.98312798993377,-19.6413590165705
06:17:23.998 PM,-13.0455878879278,4.68934926465504,-19.562632579281
06:17:24.112 PM,-12.2466302128432,4.39015650099538,-19.5722906309049
06:17:24.137 PM,-12.4680264992441,4.18237358157175,-19.3721528510455
06:17:24.253 PM,-12.657546930337,4.12120010249572,-19.2843708699605
06:17:24.272 PM,-13.2720856569087,4.27441980045041,-19.4156336017586
06:17:24.351 PM,-13.1225341906101,4.15219319235139,-19.4508395353
06:17:24.445 PM,-13.298751873519,4.65130313939622,-19.4681925979796
06:17:24.513 PM,-12.8278410678489,4.00540875354751,-19.3771959396629
06:17:24.604 PM,-13.3612493965353,4.11747018806398,-19.3785049567516
06:17:24.666 PM,-12.9844463826662,4.01165115800937,-19.2407634839374
06:17:24.783 PM,-13.0262080465859,4.32514197543975,-19.2103722515591
06:17:24.820 PM,-13.2169188481349,4.2246388986031,-19.1479927180734
06:17:24.937 PM,-13.3118507964141,4.32992673439236,-19.0201850661473
06:17:24.963 PM,-13.0414125358291,4.47877057245221,-18.9323485061252
06:17:25.056 PM,-13.1883512500965,4.21498187907504,-18.8284017613767
06:17:25.150 PM,-12.8496209711338,4.42850328039628,-18.7069401336973
06:17:25.196 PM,-12.8276658769437,4.42334793495486,-18.6872016390265
06:17:25.291 PM,-13.1307803595164,4.49520569301254,-18.7042032469424
06:17:25.385 PM,-13.0974114419844,4.48944730704847,-18.7930204025478
06:17:25.473 PM,-13.1778460137178,4.73922855888769,-18.7232096916206
06:17:25.525 PM,-12.936737410376,4.2783199831721,-18.7925256112005
06:17:25.572 PM,-12.9384159351794,4.52589825183421,-18.7776421457876
06:17:25.666 PM,-13.0616782339422,4.30708673845906,-18.803016979469
06:17:25.760 PM,-12.906236940665,4.39950128413091,-18.8765949811253
06:17:25.807 PM,-13.1699073397835,4.57535121936096,-18.8145930158154
06:17:25.901 PM,-13.0821759346817,4.3202401720196,-18.8939055423797
06:17:25.995 PM,-13.0651509684853,4.48404222004149,-18.8258589308567
06:17:26.042 PM,-13.0774251785325,4.61104202697684,-18.8142193278709
06:17:26.136 PM,-12.8231436488227,4.30050275310981,-18.7695976234741
06:17:26.183 PM,-12.828688181611,4.51026492314297,-18.7468709608137
06:17:26.277 PM,-12.5354008973758,4.26616638513682,-18.7057496236917
06:17:26.370 PM,-12.6241267800175,4.22972716645691,-18.7298877229353
06:17:26.418 PM,-12.7478677960861,4.4275976742752,-18.634908144634
06:17:26.512 PM,-12.7916108347728,4.27695252576449,-18.6790261146589
06:17:26.606 PM,-12.6075148964397,4.27026941778413,-18.5988809709562
06:17:26.653 PM,-12.7589231558888,4.26984044384128,-18.6248720013585
06:17:26.746 PM,-12.9183437233847,4.40623510190007,-18.6343402465763
06:17:26.791 PM,-13.1783953597676,4.57923793528533,-18.6728825417129
06:17:26.886 PM,-13.2502650871579,4.35317975595776,-18.7061171750142
06:17:26.980 PM,-13.4252876465192,4.52151497644496,-18.6949147984714
06:17:27.027 PM,-13.2302463387895,4.44878534767149,-18.6386375349756
06:17:27.121 PM,-13.2053531264436,4.35871642057654,-18.4414616872619
06:17:27.214 PM,-12.9637659172505,4.31053619062839,-18.2448022846751
06:17:27.261 PM,-12.689832820103,4.47244310418877,-18.2497398435382
06:17:27.354 PM,-12.9868775375608,4.30725144453922,-18.2301328861294
06:17:27.402 PM,-13.1951107568334,3.97718258506274,-18.4199732919766
06:17:27.496 PM,-13.396891701348,4.05373700914713,-18.4159852469265
06:17:27.590 PM,-13.2680298918742,4.23849481468688,-18.405186444613
06:17:27.637 PM,-13.1904178174054,4.26350478276127,-18.3067078157555
06:17:27.732 PM,-13.3633100496132,4.32744105072425,-18.2766408180035
06:17:27.827 PM,-13.2807158287261,4.14271333108832,-18.2418698757154
06:17:27.874 PM,-13.3990161970252,4.08254157742434,-18.2590629790928
06:17:27.969 PM,-13.3471227600493,4.28547179172473,-18.3005941175201
06:17:28.016 PM,-13.085594708898,4.22789489165991,-18.2536920400922
06:17:28.110 PM,-13.5543914474803,4.04595380504396,-18.5017760772454
06:17:28.205 PM,-14.2706757207223,4.39408786682641,-18.7461555584867
