global time, time (s), rotation_x, rotation_y, falcon_x, falcon_y, falcon_z
 18:16:20.468,0.02,0,0,0,0,0
 18:16:20.487,0.1494044,0.54,359.4029,-0.0868504,-0.139932,2.9842
 18:16:20.521,0.1629827,0.54,359.4029,-0.0856441,-0.140231,2.98471
 18:16:20.546,0.2052383,0.54,359.4029,-0.0844383,-0.14053,2.98522
 18:16:20.647,0.3068268,0.54,359.4029,-0.0795772,-0.140546,2.97006
 18:16:20.779,0.4381527,0.54,359.4029,0.0789746,-0.336889,0.528896
 18:16:20.909,0.566997,0.54,359.4029,0.540734,-0.378253,-1.69057
 18:16:21.041,0.6991528,0.54,359.4029,0.335674,-0.238418,-1.67308
 18:16:21.170,0.8294351,0.54,359.4029,0.328488,-0.142258,-0.492674
 18:16:21.304,0.9624023,0.54,359.4029,-0.336424,0.173433,2.1126
 18:16:21.432,1.089583,0.54,359.4029,-0.524465,0.232756,2.82996
 18:16:21.558,1.217323,0.54,359.4029,-0.242225,0.271008,0.93789
 18:16:21.687,1.347293,0.54,359.4029,0.256096,0.333372,-0.595196
 18:16:21.814,1.472839,0.54,359.4029,0.252775,0.477697,-1.38942
 18:16:21.939,1.598856,0.54,359.4029,0.134661,0.630511,-1.13373
 18:16:22.069,1.728936,0.54,359.4029,-0.128126,0.884576,-0.409176
 18:16:22.196,1.853884,0.54,359.4029,-0.308034,0.958772,0.0855481
 18:16:22.321,1.981126,0.54,359.4029,-0.372332,1.0369,0.251881
 18:16:22.450,2.109324,0.54,359.4029,-0.376455,1.02224,0.272443
 18:16:22.586,2.243769,0.54,359.4029,-0.368524,1.00812,0.261499
 18:16:22.721,2.378582,0.54,359.4029,-0.342626,0.950173,0.222034
 18:16:22.852,2.510626,0.54,359.4029,-0.296874,0.951234,0.202257
 18:16:22.982,2.640529,0.54,359.4029,-0.282041,0.903668,0.175359
 18:16:23.110,2.768756,0.54,359.4029,-0.280994,0.8683,0.153447
 18:16:23.237,2.897427,0.54,359.4029,-0.276703,0.812516,0.104995
 18:16:23.362,3.021425,0.54,359.4029,-0.266971,0.776211,0.0868897
 18:16:23.486,3.145494,0.54,359.4029,-0.264801,0.768115,0.0828986
 18:16:23.612,3.271921,0.54,359.4029,-0.264801,0.768115,0.0828986
 18:16:23.741,3.400685,0.54,359.4029,-0.264801,0.768115,0.0828986
 18:16:23.868,3.526812,0.54,359.4029,-0.264801,0.768115,0.0828986
 18:16:23.993,3.652443,0.54,359.4029,-0.264801,0.768115,0.0828986
 18:16:24.120,3.778667,0.54,359.4029,-0.264801,0.768115,0.0828986
