posx, posy, posz, tag, time (s), userID
-1.505958,-0.207916,0.6326813,Water,554.0363,5
1.15693,1.150063,0.2242365,Sun,573.4548,5
1.563087,0.4495899,-0.256966,Bridge,579.7419,5
0.5844678,-1.39985,-0.6405104,Robot,616.4845,5
1.359963,0.4654743,0.8032883,Antenna,639.411,5
