posx, posy, posz, tag, time (s), userID
-1.545123,0.0440994,0.5675066,Ice,230.8834,32
-0.7736729,0.3880842,1.400799,Graffiti,236.9232,32
0.01982529,0.6954474,-1.492443,Antenna,257.2229,32
0.2875754,0.3853667,-1.574872,Truck,260.0101,32
-1.633382,0.04209099,0.2042241,Shore,283.9166,32
