Time,Pitch, falcon_x, falcon_y, falcon_z,Roll1,Pitch1,Yaw1,AccX1,AccY1,AccZ1,RotX1,RotY1,RotZ1
1900-01-01 13:29:50.700,6.93144465767362,-1.329078,-0.0252562,0.1571113,52.6075,29.8625,-89.8175,0.4925,0.7825,0.3425,-1.6575,0.6875,-0.5925
1900-01-01 13:29:51.000,7.32067440006025,-1.31678,-0.002153386818181818,0.16389618181818183,52.519999999999996,29.3975,-89.9925,0.4825,0.7825,0.355,-2.7125000000000004,1.1475,0.07500000000000001
1900-01-01 13:29:51.300,6.852608106299705,-1.3036927272727274,0.0153057,0.15532545454545454,51.7375,30.072499999999998,-89.9375,0.495,0.775,0.3575,-2.115,0.34249999999999997,0.3
1900-01-01 13:29:51.600,5.7748152826588495,-1.2867099999999998,0.03223683,0.14347490000000002,51.065,30.78,-89.605,0.5075000000000001,0.77,0.36,-1.55,1.345,0.1225
1900-01-01 13:29:51.900,8.121126436055732,-1.2507654545454545,-0.03788086272727273,0.1069721,52.3725,28.87,-91.505,0.47750000000000004,0.78,0.365,-2.3850000000000002,3.3225,-7.0275
1900-01-01 13:29:52.200,13.454039036775225,-1.058125,-0.3611055454545455,0.025675136363636365,54.3925,25.1125,-95.03999999999999,0.4125,0.795,0.3925,-2.36,0.9375,-3.425
1900-01-01 13:29:52.500,15.35240472359005,-0.779569,-0.5922946363636363,0.02948579090909091,55.7875,23.365000000000002,-96.8025,0.39,0.8125,0.39,-1.3825,1.2025,-2.4375
1900-01-01 13:29:52.800,16.874117662960476,-0.5330398181818182,-0.7699141818181818,0.05237962727272727,56.595,21.84,-98.62,0.365,0.815,0.3975,-2.2,0.8625,-3.3825000000000003
1900-01-01 13:29:53.100,19.537013651013535,-0.27421670000000004,-0.8796415,0.082662,57.92333333333334,19.5,-100.31,0.33,0.8333333333333334,0.4066666666666667,-4.823333333333333,0.029999999999999954,-2.7533333333333334
1900-01-01 13:29:53.400,15.900595529297501,0.1686075366666667,-0.7979961666666666,0.08727449999999999,52.575,21.67,-100.485,0.365,0.78,0.4725,-9.97,-3.4525,0.6200000000000001
1900-01-01 13:29:53.700,16.971974842646375,0.6874634000000001,-0.5968047000000001,0.06512952,52.0775,21.66,-101.6725,0.36,0.7725,0.4775,-2.68,-0.5975,-3.06
1900-01-01 13:29:54.000,19.199901312672324,0.9366307272727272,-0.48905609090909086,0.06286026363636364,53.15,20.2325,-103.09,0.3375,0.78,0.475,0.16749999999999998,1.99,-0.92
1900-01-01 13:29:54.300,19.847930347558673,0.967436,-0.499022,0.06114928181818182,53.885,19.9225,-103.5125,0.335,0.79,0.46749999999999997,-0.1925,2.03,-0.41
1900-01-01 13:29:54.600,20.31849433291455,0.971024,-0.5136354545454546,0.05837821818181818,54.34,19.6425,-103.7475,0.33,0.7925,0.46499999999999997,-0.505,1.57,-0.2275
1900-01-01 13:29:54.900,20.505820265857775,0.9731455999999999,-0.5222864,0.05675774,54.735,19.4675,-103.88,0.325,0.795,0.46,-0.53,1.3125,0.14250000000000002
1900-01-01 13:29:55.200,18.386969113846174,0.9707454,-0.5048974,0.061030589999999996,54.870000000000005,20.8975,-103.1175,0.34750000000000003,0.7975000000000001,0.4375,1.8825,-0.63,2.7875
1900-01-01 13:29:55.500,16.913011463488633,0.9825959090909091,-0.4295872727272727,0.08963042727272728,55.586666666666666,21.796666666666667,-102.02333333333333,0.3633333333333333,0.81,0.4166666666666667,0.32666666666666666,0.49,0.83
1900-01-01 13:29:55.800,16.13761978813946,0.9818421,-0.3591994,0.10433493,55.548,22.608,-101.498,0.376,0.804,0.40800000000000003,-0.26,0.466,3.336
1900-01-01 13:29:56.100,10.47020074906918,0.7787591818181817,-0.10865840909090908,0.07646757272727273,51.85,27.326666666666668,-98.16666666666667,0.45,0.7733333333333334,0.4066666666666667,-1.8666666666666665,-0.9199999999999999,7.536666666666666
1900-01-01 13:29:56.400,8.953330774646163,0.6700115454545454,0.19557103636363635,0.11343209090909091,51.75,28.6575,-96.1125,0.47,0.7725,0.3825,-1.3925,-1.6425,-0.46499999999999997
1900-01-01 13:29:56.700,7.19748486004601,0.8060507272727272,0.4345635454545454,0.13723381818181818,50.8475,30.345,-96.16,0.495,0.765,0.37,-2.3575,-1.96,-0.91
1900-01-01 13:29:57.000,8.926844125385907,1.0237794,0.5360324000000001,0.1288337,52.125,29.4025,-97.08500000000001,0.4825,0.78,0.365,-0.39,0.1525,-0.9550000000000001
1900-01-01 13:29:57.300,8.550019885271597,1.1283727272727273,0.5493355454545454,0.13150336363636364,52.175,29.544999999999998,-97.31,0.4925,0.7875000000000001,0.3625,-1.6325,1.9224999999999999,0.38
1900-01-01 13:29:57.600,8.754556075784258,1.135145,0.5122561,0.12426090000000001,50.7725,30.0975,-96.1225,0.4925,0.7625,0.3775,-4.5225,2.2525,2.46
1900-01-01 13:29:57.900,8.797410203162638,1.0615393636363637,0.48182172727272726,0.10312723636363637,50.495,29.802500000000002,-95.5925,0.49,0.7575000000000001,0.395,-0.07,2.9325,1.4075000000000002
1900-01-01 13:29:58.200,7.400752650706175,0.6198243,0.41487189999999996,0.04792759,49.504999999999995,31.0925,-94.2475,0.5075000000000001,0.7475,0.3875,1.44,6.715,3.2375
1900-01-01 13:29:58.500,7.684110845694669,0.07203509500000001,0.3804487,0.0518902,50.656666666666666,30.626666666666665,-92.42666666666666,0.5033333333333333,0.7666666666666666,0.37333333333333335,6.506666666666667,5.04,2.793333333333333
1900-01-01 13:29:58.800,5.837928845187038,-0.22572872727272728,0.4584150909090909,0.05054023636363636,51.26800000000001,31.689999999999998,-91.118,0.518,0.774,0.33399999999999996,4.228,2.852,1.262
1900-01-01 13:29:59.100,6.65790272569168,-0.338367,0.4789769,0.0533096,53.4725,30.8625,-90.9275,0.51,0.8,0.3,-0.9650000000000001,0.2,-0.28250000000000003
1900-01-01 13:29:59.400,5.194705141141437,-0.3372210909090909,0.5153584545454546,0.06716872727272727,52.3625,31.97,-90.8125,0.5275000000000001,0.79,0.3025,-4.9425,-0.69,0.7325
1900-01-01 13:29:59.700,5.343845690246642,-0.327987,0.5404935999999999,0.06940310000000001,50.8875,32.4,-90.455,0.5275000000000001,0.76,0.3275,-3.04,1.25,-0.21499999999999997
1900-01-01 13:30:00.000,4.565851350674543,-0.33252550000000003,0.5463214,0.0700021,50.580000000000005,32.57,-90.68,0.5333333333333333,0.77,0.33666666666666667,0.1366666666666667,1.2566666666666668,-0.04
1900-01-01 13:30:00.300,4.576439308935159,-0.38012218181818186,0.5409654545454545,0.04927552272727273,51.49,32.5175,-91.23,0.525,0.77,0.31,1.9849999999999999,2.6475,-0.10250000000000004
1900-01-01 13:30:00.600,4.145595070284067,-0.733253090909091,0.5003373636363636,-0.0038100354545454545,51.0875,33.085,-90.4575,0.535,0.765,0.3025,-3.4825,2.12,2.315
1900-01-01 13:30:00.900,2.6637858607909672,-1.0967405,0.4619123,0.06457813999999999,49.2775,33.9475,-88.75,0.545,0.7375,0.3275,1.9975,0.32499999999999996,5.3875
1900-01-01 13:30:01.200,-5.44427120445942,-1.3734439999999999,0.6735276,0.15288092,47.135,38.6425,-84.6925,0.6325000000000001,0.7424999999999999,0.275,1.465,-0.8875000000000001,4.835
1900-01-01 13:30:01.500,-6.807809573025823,-1.5830650000000002,0.9289554999999999,0.26488075,46.39,39.58,-83.0675,0.635,0.7224999999999999,0.26,-0.7625,1.8125,0.64
1900-01-01 13:30:01.800,-5.765827372712493,-1.6492740000000001,1.0181722,0.2847233,46.905,39.1425,-83.35,0.63,0.7275,0.26,-0.2075,2.31,-1.5375
1900-01-01 13:30:02.100,-4.344552586581576,-1.6119245454545454,1.105980909090909,0.2859892727272727,47.903333333333336,38.21,-84.02,0.62,0.7399999999999999,0.25666666666666665,-0.7333333333333334,0.3466666666666667,-0.8866666666666667
1900-01-01 13:30:02.400,-3.0118696860017744,-1.5057109090909089,1.215958181818182,0.29130236363636364,48.524,37.784000000000006,-84.768,0.61,0.748,0.248,-1.238,0.672,-1.416
1900-01-01 13:30:02.700,-2.169054521135275,-1.4301354545454545,1.2457636363636364,0.29165454545454544,48.8975,37.3475,-85.6225,0.6025,0.7475,0.2475,-1.6225,0.8325,-0.4875
1900-01-01 13:30:03.000,-1.952262494661475,-1.37734,1.249221,0.2889358,49.165,37.14,-85.93,0.6025,0.755,0.25,-1.045,1.1975,-0.53
1900-01-01 13:30:03.300,-1.5334677759782203,-1.2980572727272728,1.2752127272727274,0.27338718181818183,49.515,36.942499999999995,-86.2225,0.6,0.76,0.245,-1.12,-0.21249999999999997,-0.24
1900-01-01 13:30:03.600,-1.228724185798352,-1.1627954545454544,1.3478054545454545,0.25323690909090907,49.485,37.2575,-86.4875,0.5974999999999999,0.7525,0.23249999999999998,-1.1600000000000001,0.35,-0.28750000000000003
1900-01-01 13:30:03.900,-0.98683941380098,-1.059808181818182,1.4207545454545454,0.24275454545454547,49.71,37.166666666666664,-86.57666666666667,0.6033333333333334,0.7600000000000001,0.23,-1.16,0.68,-0.12666666666666668
1900-01-01 13:30:04.200,-1.0916195412262408,-0.9780637272727273,1.4766536363636362,0.22686072727272724,49.480000000000004,37.3525,-86.66,0.6074999999999999,0.76,0.2325,-1.4975,0.6475,-0.039999999999999994
1900-01-01 13:30:04.500,-0.97600288315456,-0.9466857,1.4997639999999999,0.2226117,49.565,37.42,-86.75,0.605,0.76,0.225,-1.105,1.375,-0.165
1900-01-01 13:30:04.800,-0.873676901644123,-0.945165,1.5007,0.223055,49.755,37.24,-86.89750000000001,0.6025,0.76,0.225,-0.9675,1.4925000000000002,-0.1575
1900-01-01 13:30:05.100,-0.6781384902168388,-0.945004,1.50009,0.22263333333333332,49.9125,37.085,-87.0,0.6,0.76,0.2225,-1.0899999999999999,1.47,-0.05
1900-01-01 13:30:05.400,-0.8224886701997703,-0.9448887272727272,1.4871936363636364,0.21285772727272728,49.98666666666667,37.056666666666665,-87.06333333333333,0.6,0.7633333333333333,0.22333333333333336,-0.6833333333333332,1.8933333333333333,-0.12333333333333334
1900-01-01 13:30:05.700,-0.3072880478794202,-0.9493723000000001,1.473748,0.2015088,50.444,36.676,-87.23400000000001,0.596,0.768,0.22200000000000003,-0.9640000000000001,1.386,-0.18
1900-01-01 13:30:06.000,-0.03948075539818301,-0.9463019999999999,1.4621699999999997,0.19360266666666667,50.67,36.480000000000004,-87.36,0.5925,0.7725,0.22,-1.3125,1.2275,-0.145
1900-01-01 13:30:06.300,-0.2518642433578145,-0.9452588181818182,1.458239090909091,0.19092727272727272,50.49,36.625,-87.4125,0.595,0.7675000000000001,0.22,-1.265,1.2525,0.039999999999999994
1900-01-01 13:30:06.600,-0.29849953936200435,-0.945081,1.4575699999999998,0.190472,50.53,36.64,-87.4625,0.595,0.7675000000000001,0.2175,-1.25,1.2725,-0.0425
1900-01-01 13:30:06.900,-0.20493586280351023,-0.9471732727272727,1.4537890909090907,0.187094,50.485,36.6475,-87.5275,0.5925,0.7675000000000001,0.22,-0.7475,1.4525000000000001,-0.0925
1900-01-01 13:30:07.200,0.00271296342869215,-0.9489962000000001,1.44666,0.1812948,50.875,36.4175,-87.5925,0.59,0.7725,0.215,-0.98,1.1725,0.055
1900-01-01 13:30:07.500,-0.7460006133540457,-0.9541706363636364,1.4474736363636365,0.1805561818181818,50.51666666666667,36.803333333333335,-87.48333333333333,0.5966666666666667,0.7666666666666666,0.21,-0.84,1.3133333333333332,0.6233333333333334
1900-01-01 13:30:07.800,-0.5727887323195048,-0.944423,1.4356281818181817,0.17434472727272726,50.6375,36.662499999999994,-87.4225,0.5925,0.77,0.21,-1.8025,0.7975,-0.8725
1900-01-01 13:30:08.100,0.5686261587667998,-0.8414241,1.3728310000000001,0.15622149999999999,51.629999999999995,35.739999999999995,-88.256,0.582,0.782,0.20800000000000002,-1.522,0.8780000000000001,-0.898
1900-01-01 13:30:08.400,1.0976860802296178,-0.7811498181818183,1.322259090909091,0.1370460909090909,52.01666666666667,35.306666666666665,-88.76333333333334,0.5766666666666667,0.7833333333333333,0.21,-1.2366666666666666,0.7433333333333333,-1.6300000000000001
1900-01-01 13:30:08.700,2.812415031300922,-0.6479353,1.177086,0.07713345,53.292500000000004,34.165,-90.34,0.5575,0.795,0.2025,-2.1025,-0.27249999999999996,-3.585
1900-01-01 13:30:09.000,5.537318227278325,-0.49805454545454547,0.9504453636363636,-0.02063241109090909,54.9875,32.1725,-92.5125,0.5275000000000001,0.8125,0.21,-2.81,1.6225,-4.0175
1900-01-01 13:30:09.300,9.213035408905714,-0.32549900000000004,0.6858657,-0.10005537,56.8975,29.28,-95.6,0.48,0.8225,0.24,-5.234999999999999,1.6400000000000001,-5.835
1900-01-01 13:30:09.600,13.21173068717385,-0.06209367363636364,0.3709042727272727,-0.11903336363636363,59.0475,26.095,-98.8,0.4325,0.8425,0.2625,-3.115,1.7475,-4.3025
1900-01-01 13:30:09.900,15.947907407364227,0.12360046363636364,-0.010641754545454548,-0.12156972727272727,60.3775,23.6075,-101.2425,0.395,0.8574999999999999,0.2875,-3.21,2.44,-3.2875
1900-01-01 13:30:10.200,17.85034478538065,0.14092596363636364,-0.3913122727272727,-0.11017736363636364,61.25,21.28,-103.04,0.3525,0.855,0.3075,-4.5875,4.37,-1.99
1900-01-01 13:30:10.500,18.05153869781945,-0.06859135454545455,-0.8691080909090908,-0.06512585454545455,60.0125,19.77,-104.06,0.33,0.8475,0.3575,-5.2925,4.9350000000000005,-1.6525
1900-01-01 13:30:10.800,18.93757859398945,-0.3092092,-1.408069,-0.03133591,59.1125,18.2225,-105.2175,0.305,0.84,0.4,-3.92,4.9025,-1.63
1900-01-01 13:30:11.100,20.5123003153513,-0.4767518181818182,-1.83412,0.012335080545454546,58.76666666666667,15.450000000000001,-106.30666666666667,0.26333333333333336,0.84,0.4366666666666667,-4.693333333333333,5.196666666666666,-3.3366666666666664
1900-01-01 13:30:11.400,23.071714551887624,-0.5346788181818182,-2.1538,0.05076928181818181,57.4,13.3225,-108.14500000000001,0.2225,0.8175,0.47,-6.3225,5.5175,-3.7725
1900-01-01 13:30:11.700,25.993569475112174,-0.5339115454545454,-2.415841818181818,0.042984972727272724,56.4225,10.355,-110.16,0.17250000000000001,0.8075000000000001,0.5075000000000001,-1.6324999999999998,2.645,-0.8825000000000001
1900-01-01 13:30:12.000,25.5586054925706,-0.532061,-2.46351,0.0415811,56.695,10.555,-110.1525,0.175,0.81,0.5025,-0.255,1.1,0.705
1900-01-01 13:30:12.300,25.109684618280227,-0.53154825,-2.464968333333333,0.04171456666666667,56.99,10.66,-109.8375,0.18,0.81,0.4975,-0.9175,1.265,0.475
1900-01-01 13:30:12.600,23.66776855649295,-0.5930153636363636,-2.4593654545454546,0.03682887272727273,57.105,11.4825,-109.2825,0.19,0.81,0.485,0.2849999999999999,1.715,3.7275
1900-01-01 13:30:12.900,21.032914370999226,-0.8956347000000001,-2.3291709999999997,-0.00011584199999999994,58.465,14.3275,-105.755,0.2425,0.84,0.45,3.1125,2.245,6.6075
1900-01-01 13:30:13.200,17.344618733048375,-1.2664454545454547,-1.9891181818181816,0.0011516573636363636,58.35,18.05,-102.11500000000001,0.3025,0.8325,0.415,3.2375,0.065,6.575
1900-01-01 13:30:13.500,12.291032750778857,-1.5612819999999998,-1.4686270000000001,0.0232389457,57.9775,22.4875,-97.8225,0.3725,0.8274999999999999,0.35750000000000004,3.4699999999999998,-3.0575,6.2325
1900-01-01 13:30:13.800,9.254951775118256,-1.61457,-1.0474884,0.02889117,57.754999999999995,25.28,-95.315,0.4225,0.8325,0.3175,-0.625,-1.9175,1.8875000000000002
1900-01-01 13:30:14.100,6.166741613629595,-1.5150718181818184,-0.675141,0.05189716363636363,55.585,28.1675,-93.535,0.4625,0.8125,0.3075,-1.91,-2.21,4.3275
1900-01-01 13:30:14.400,4.5310887385222465,-1.296350909090909,-0.23008756363636362,0.06315174545454545,54.67333333333334,29.74,-91.96,0.49,0.8066666666666666,0.2933333333333333,-2.08,-2.983333333333333,0.14333333333333334
1900-01-01 13:30:14.700,4.637393883052102,-0.9429460000000001,0.038125563,0.0399691,54.705,30.197499999999998,-92.425,0.495,0.805,0.28250000000000003,-1.7850000000000001,-1.925,-2.415
1900-01-01 13:30:15.000,7.558385322892089,-0.5103476666666666,0.13670377777777779,0.041007800000000004,56.712500000000006,28.6125,-95.4425,0.475,0.825,0.2625,-3.29,-3.625,-6.9425
1900-01-01 13:30:15.300,10.281001576916628,-0.6292348839765851,-0.01418740712893736,0.08913260547051456,58.1125,26.63,-98.19749999999999,0.4425,0.8374999999999999,0.27749999999999997,-1.6549999999999998,-1.0925,-1.535
1900-01-01 13:30:15.600,10.773422448231102,-0.6292348839765851,-0.01418740712893736,0.08913260547051456,59.0225,26.13,-99.055,0.4375,0.8474999999999999,0.2625,-1.2650000000000001,-1.5375,-2.0125
1900-01-01 13:30:15.900,14.095766531970474,1.3116432,0.3545524,0.34466571999999995,61.722500000000004,23.925,-100.9625,0.395,0.8625,0.24,-0.6475,-2.485,-2.8
1900-01-01 13:30:16.200,14.807947145418876,1.694398181818182,0.35681263636363636,0.2147910909090909,61.545,24.95,-101.6125,0.415,0.8674999999999999,0.2175,1.4324999999999999,3.1025,0.565
1900-01-01 13:30:16.500,15.340246565002374,1.377559090909091,0.26683972727272726,0.09576001818181817,61.9125,24.435000000000002,-101.0675,0.41,0.875,0.22,-3.045,3.83,1.19
1900-01-01 13:30:16.800,13.6558752987942,0.8634411818181817,0.10867693636363636,0.030910063636363637,58.6725,25.685000000000002,-100.08250000000001,0.43,0.8425,0.28500000000000003,-9.2375,-0.06250000000000003,3.8449999999999998
1900-01-01 13:30:17.100,11.913385895638225,0.6506864,0.09157765,0.011579981999999999,54.805,27.39,-98.4725,0.445,0.79,0.3375,-5.2925,5.119999999999999,-0.09749999999999999
1900-01-01 13:30:17.400,13.48174892772155,0.5754834,0.025247498,0.007914187999999999,54.8075,26.555,-98.6225,0.4425,0.8075000000000001,0.3575,-1.5875,2.42,-0.885
1900-01-01 13:30:17.700,14.134535591752774,0.6442401818181819,-0.019317324545454543,0.03102713818181818,55.2175,25.645,-99.2525,0.4225,0.805,0.365,-2.2425,1.0275,-0.6525
1900-01-01 13:30:18.000,13.719803908015026,0.6978859,-0.09544941,0.029004659999999998,54.74,25.6575,-99.63749999999999,0.4275,0.8025,0.375,-2.5075000000000003,1.665,-0.6074999999999999
1900-01-01 13:30:18.300,13.744892482246934,0.7166090909090909,-0.17394345454545454,0.01642691818181818,54.88666666666666,25.403333333333336,-99.83333333333333,0.42333333333333334,0.81,0.38000000000000006,-1.99,2.8066666666666666,0.21333333333333335
1900-01-01 13:30:18.600,13.44521208083395,0.6987916000000001,-0.2081169,0.033327260000000004,53.9025,25.78,-99.195,0.425,0.7875000000000001,0.39,-1.8125,1.1225,1.5275
1900-01-01 13:30:18.900,14.402045826516074,0.522055909090909,-0.1932659090909091,0.021732755454545453,54.88,25.1075,-98.8375,0.4175,0.805,0.3825,-0.25,3.01,1.28
1900-01-01 13:30:19.200,11.73730638166685,-0.1626080956,-0.057707949999999994,0.07172625,52.8625,27.72,-97.21,0.44999999999999996,0.77,0.3725,5.5375,3.4075,6.8325
1900-01-01 13:30:19.500,6.691850785673992,-0.6958829090909091,0.3144277272727273,0.13426427272727273,52.935,30.965,-92.435,0.515,0.7975,0.3125,4.5975,0.6725,4.725
1900-01-01 13:30:19.800,5.0851548663550075,-0.8761852000000001,0.5056784000000001,0.17881260000000002,52.845,32.215,-91.1375,0.53,0.79,0.2825,-0.9500000000000001,1.1475,0.42500000000000004
1900-01-01 13:30:20.100,3.58089879910451,-0.9735475454545455,0.6212552727272728,0.21651772727272728,52.0,32.89333333333334,-90.85000000000001,0.5366666666666667,0.7733333333333334,0.2866666666666667,-1.4566666666666663,1.1666666666666667,0.5
1900-01-01 13:30:20.400,2.936773295304906,-1.0325436363636362,0.689589,0.223142,51.727999999999994,33.31,-90.61,0.544,0.78,0.284,-0.5279999999999999,1.022,0.392
