Time,Roll2,Pitch2,Yaw2,AccX2,AccY2,AccZ2,RotX2,RotY2,RotZ2,Roll1,Pitch1,Yaw1,AccX1,AccY1,AccZ1,RotX1,RotY1,RotZ1
1900-01-01 12:19:04.674,46.91,23.45,-22.34,0.39,0.72,0.55,-1.05,2.51,-0.35,16.09,5.92,8.37,0.11,0.28,0.97,-1.31,1.15,0.59
1900-01-01 12:19:04.721,46.93,23.51,-22.4,0.39,0.72,0.55,-1.47,2.45,0.19,16.75,6.33,8.62,0.11,0.29,0.96,-1.55,0.55,0.13
1900-01-01 12:19:04.815,46.98,22.83,-22.38,0.38,0.72,0.55,-1.65,2.18,0.64,16.27,5.08,8.8,0.09,0.29,0.97,-1.0,-0.92,-0.01
1900-01-01 12:19:04.910,46.7,22.94,-22.29,0.38,0.71,0.55,-1.04,1.74,1.6,16.12,5.07,8.96,0.09,0.28,0.98,0.98,-0.15,1.22
1900-01-01 12:19:04.956,45.6,23.91,-22.06,0.39,0.69,0.55,-0.68,1.09,0.55,16.06,7.07,9.3,0.12,0.27,0.94,1.56,0.41,-0.18
1900-01-01 12:19:05.050,46.35,23.35,-21.98,0.38,0.7,0.55,-1.48,1.74,-0.5,16.64,6.38,9.43,0.11,0.28,0.94,-1.63,-0.35,-1.07
1900-01-01 12:19:05.142,47.09,23.2,-22.07,0.39,0.72,0.55,-1.9,1.85,-0.19,16.76,4.69,9.43,0.08,0.3,0.98,-1.91,-0.2,-0.96
1900-01-01 12:19:05.189,46.75,23.45,-22.11,0.39,0.72,0.55,-1.53,1.21,0.55,16.89,5.59,9.44,0.1,0.3,0.98,-0.36,-0.21,-0.55
1900-01-01 12:19:05.281,46.87,23.44,-22.03,0.39,0.71,0.54,-1.01,0.44,0.47,17.07,5.46,9.51,0.1,0.3,0.96,0.96,-0.85,-1.28
1900-01-01 12:19:05.327,46.8,23.63,-21.97,0.39,0.71,0.54,-0.71,0.8,0.94,17.62,5.56,9.48,0.1,0.3,0.95,1.22,-0.4,-0.34
1900-01-01 12:19:05.418,46.34,23.88,-21.83,0.39,0.7,0.54,-0.75,0.9,-0.4,16.87,6.74,9.58,0.12,0.29,0.94,0.11,0.76,-1.01
1900-01-01 12:19:05.511,46.91,23.39,-21.9,0.39,0.71,0.54,-0.73,1.61,-0.76,17.02,5.82,9.59,0.1,0.29,0.95,-0.02,1.43,-0.81
1900-01-01 12:19:05.556,47.08,23.64,-22.03,0.39,0.72,0.54,-1.09,1.59,-0.45,18.13,5.04,9.62,0.09,0.31,0.95,-0.49,0.34,-0.86
1900-01-01 12:19:05.650,46.68,23.82,-22.11,0.39,0.71,0.54,-0.79,2.11,-0.22,17.88,5.53,9.65,0.1,0.31,0.95,1.25,1.01,0.16
1900-01-01 12:19:05.744,47.03,23.19,-22.15,0.38,0.71,0.54,-0.79,1.79,-0.39,17.45,4.78,9.83,0.08,0.3,0.96,-0.45,0.96,-0.63
1900-01-01 12:19:05.791,47.15,23.14,-22.22,0.38,0.72,0.54,-0.73,1.52,-0.04,17.51,4.99,9.9,0.09,0.3,0.96,-0.75,-0.01,-0.51
1900-01-01 12:19:05.884,47.47,22.94,-22.23,0.38,0.72,0.54,-1.4,1.25,-0.02,17.91,4.52,9.98,0.08,0.31,0.96,-0.94,-0.59,-1.08
1900-01-01 12:19:05.977,47.56,22.91,-22.24,0.38,0.72,0.54,-1.24,1.3,0.8,18.07,4.07,9.97,0.07,0.32,0.97,0.34,-0.21,-0.03
1900-01-01 12:19:06.023,47.01,23.08,-22.13,0.38,0.71,0.54,-1.13,0.42,0.96,17.57,5.0,10.12,0.09,0.3,0.95,0.53,-1.53,-0.48
1900-01-01 12:19:06.119,47.21,23.39,-21.99,0.38,0.7,0.53,-0.74,0.62,0.35,17.75,5.15,10.21,0.09,0.3,0.93,0.5,-0.25,-0.76
1900-01-01 12:19:06.167,46.41,24.02,-21.95,0.4,0.71,0.54,-0.79,1.16,-1.51,18.48,6.34,10.25,0.11,0.31,0.92,-0.45,0.72,-1.87
1900-01-01 12:19:06.261,47.92,22.99,-22.19,0.39,0.74,0.54,-0.86,1.83,-1.82,18.66,4.3,10.12,0.08,0.33,0.97,-1.81,1.82,-2.42
1900-01-01 12:19:06.357,47.82,23.61,-22.47,0.4,0.73,0.53,-2.28,1.91,-0.01,19.37,4.17,9.91,0.07,0.34,0.96,-1.63,-1.29,-0.63
1900-01-01 12:19:06.404,47.38,23.27,-22.48,0.38,0.71,0.53,-1.63,2.01,0.02,18.33,4.76,9.97,0.08,0.31,0.94,-1.02,-0.58,0.12
1900-01-01 12:19:06.497,47.5,22.66,-22.49,0.37,0.72,0.54,-0.53,1.52,-0.69,17.58,4.63,10.15,0.08,0.3,0.95,-0.31,1.12,-0.86
1900-01-01 12:19:06.544,47.89,22.19,-22.6,0.37,0.73,0.54,-0.46,1.08,-0.61,17.05,3.78,10.18,0.07,0.3,0.97,-1.24,-0.43,-2.06
1900-01-01 12:19:06.636,47.84,22.59,-22.7,0.37,0.72,0.53,-1.14,1.16,-0.5,17.97,4.13,10.02,0.07,0.31,0.95,-0.63,-0.53,-1.77
1900-01-01 12:19:06.732,47.31,23.12,-22.79,0.38,0.71,0.54,-1.4,1.33,-0.69,17.74,4.89,9.91,0.08,0.3,0.94,-0.63,-0.52,-1.41
1900-01-01 12:19:06.778,47.58,22.98,-22.9,0.38,0.72,0.54,-0.07,1.01,-1.09,17.58,4.86,9.85,0.09,0.3,0.95,0.39,0.87,-1.42
1900-01-01 12:19:06.870,48.33,22.71,-23.07,0.38,0.73,0.53,-0.48,0.85,-0.15,18.72,3.95,9.79,0.07,0.32,0.96,0.37,-0.71,-1.01
1900-01-01 12:19:06.963,48.15,22.68,-23.1,0.38,0.73,0.53,-1.03,1.4,0.07,18.47,4.04,9.8,0.07,0.32,0.95,-0.63,-0.63,-0.69
1900-01-01 12:19:07.010,48.37,23.01,-23.1,0.38,0.73,0.53,-0.47,1.51,-0.51,18.57,4.74,9.85,0.08,0.32,0.94,-0.44,0.67,-1.14
1900-01-01 12:19:07.102,48.53,22.4,-23.19,0.38,0.74,0.53,-1.12,1.84,0.34,19.13,3.08,9.84,0.05,0.34,0.97,-0.98,0.17,-0.31
1900-01-01 12:19:07.195,48.09,22.49,-23.15,0.37,0.73,0.53,-1.47,1.37,0.85,17.72,4.5,9.95,0.08,0.3,0.95,0.57,-0.6,0.4
1900-01-01 12:19:07.243,47.81,22.63,-23.02,0.37,0.72,0.54,-0.75,1.08,0.58,17.83,4.55,10.17,0.08,0.31,0.95,0.5,0.08,-0.18
1900-01-01 12:19:07.337,48.15,22.59,-22.94,0.37,0.72,0.53,-0.76,1.11,0.13,18.24,4.3,10.3,0.07,0.31,0.93,0.08,-0.34,-0.73
