Time,Roll,Pitch,Yaw
01:25:10.935 PM,7.93104178237502,-5.05182608392123,-26.1525252187639
01:25:10.967 PM,7.49950551947035,-4.99945305689203,-26.1342335155282
01:25:11.057 PM,7.60361536572878,-5.03775945604289,-26.1741528371201
01:25:11.150 PM,7.77170309500686,-5.15629005536578,-26.1311707324817
01:25:11.197 PM,7.69770463350568,-5.07774171645727,-26.1569322278472
01:25:11.289 PM,7.84933201543878,-5.17655662488005,-26.1560265033045
01:25:11.382 PM,7.81367536261392,-4.93390097451885,-26.1882365746963
01:25:11.430 PM,7.48968717430619,-5.12398373062628,-26.1897685355642
01:25:11.524 PM,7.40642504593669,-4.95201214392911,-26.2241335228046
01:25:11.578 PM,7.78317090165103,-5.01239199825994,-26.2042079821236
01:25:11.666 PM,7.66825456642378,-5.23382242411222,-26.2317614140177
01:25:11.759 PM,7.55162807307642,-5.32977066360999,-26.2173177395062
01:25:11.805 PM,7.69663330357708,-5.41535238324002,-26.2270257333089
01:25:11.899 PM,7.67328480001184,-5.42251459533163,-26.2427030635743
01:25:11.992 PM,7.63389024710886,-5.19622729254203,-26.2243574444274
01:25:12.039 PM,7.65244478592025,-5.63449987154011,-26.2446654920588
01:25:12.131 PM,6.40215947453526,-3.84193932584776,-26.5235488169951
01:25:12.225 PM,7.00570910978931,-5.34052591811882,-26.4487791332612
01:25:12.271 PM,6.98486700589432,-5.11560590660395,-26.3257548831038
01:25:12.366 PM,8.0924439191524,-5.06333448756541,-26.3603081546076
01:25:12.427 PM,8.14529211308297,-5.41021325001022,-26.3028409319561
01:25:12.507 PM,7.14649668659408,-4.96032779371838,-26.3158698809837
01:25:12.600 PM,7.70138138454637,-5.2288008362118,-26.3123839937773
01:25:12.646 PM,7.81627342699784,-5.18042707429901,-26.2507662102015
01:25:12.753 PM,7.7469206423818,-5.11873304856536,-26.2464375274974
01:25:12.795 PM,7.55317489039224,-4.76274196543855,-26.2616478285233
01:25:12.892 PM,7.7977239752668,-4.86362803161783,-26.269378111134
01:25:12.978 PM,7.71337808167255,-5.12993736629021,-26.2501731282009
01:25:13.101 PM,7.81925546653648,-4.98487649544712,-26.3031147827143
01:25:13.154 PM,7.72513170917386,-5.20773734292452,-26.294648576354
01:25:13.198 PM,7.58340352528186,-5.19471235412547,-26.3190826905001
01:25:13.514 PM,7.73218603133795,-5.13661303099951,-26.3292139278016
01:25:13.514 PM,7.69983673436245,-5.2301967683548,-26.3253383991774
01:25:13.514 PM,7.65351952120935,-5.16068574038538,-26.3521094681432
01:25:13.514 PM,7.73267225278579,-5.39291861103407,-26.339093748524
01:25:13.594 PM,7.81308165244986,-5.27017983181199,-26.3521946039144
01:25:13.665 PM,7.88039291073294,-5.1616337730036,-26.3352376007495
01:25:13.736 PM,7.65403903803728,-5.15984232637541,-26.3617415347644
01:25:13.821 PM,7.61994267776929,-5.08255019993221,-26.3928598673881
01:25:13.898 PM,7.52097128987463,-5.10902110496309,-26.3851474748402
01:25:14.008 PM,7.60366312509054,-5.32350941326498,-26.3563821847624
01:25:14.088 PM,7.9498979539799,-5.33894370163765,-26.3882152659634
01:25:14.139 PM,7.85279730101238,-5.35008584486105,-26.3610223728024
01:25:14.192 PM,7.54334385341658,-4.73793829610365,-26.3826653484207
01:25:14.292 PM,7.55168328109978,-4.91678520980005,-26.3817518940729
01:25:14.354 PM,7.59763055092349,-4.76511069943952,-26.3955345329117
01:25:14.511 PM,7.58120907135787,-5.35211304492841,-26.3889998924458
01:25:14.511 PM,7.56742712886348,-5.19529325013074,-26.4420355660482
01:25:14.554 PM,7.7802098088192,-5.29887463587065,-26.4655781200787
01:25:14.643 PM,7.53155587256523,-5.56456132489015,-26.5178480014372
01:25:14.721 PM,7.49000475408221,-5.22448453885166,-26.5885889939835
01:25:14.806 PM,8.11616482628292,-5.76019409519269,-26.5244551559528
01:25:14.872 PM,7.6442252834628,-5.01344394045383,-26.5785120168691
01:25:15.037 PM,6.90249122902505,-5.61703201886642,-26.9894943462916
01:25:15.037 PM,7.06758672734163,-6.14343755802089,-27.1735144390771
01:25:15.109 PM,7.03470056035662,-6.10535028064586,-27.2066958917666
01:25:15.177 PM,7.19587782013623,-6.33235499838459,-27.245909164504
01:25:15.242 PM,7.23334266326185,-6.34945662637117,-27.1686986856809
01:25:15.360 PM,7.39696907816359,-6.44147275078093,-27.151445087465
01:25:15.400 PM,6.60479830937904,-5.99631140466291,-27.2736086309382
01:25:15.482 PM,6.68557841573348,-5.65795457144781,-27.2510421225406
01:25:15.569 PM,5.96417885878588,-5.04549994872603,-27.0925162907289
01:25:15.640 PM,7.38867686740849,-5.95365904985667,-26.4674581356756
01:25:15.760 PM,7.8908753819087,-6.03202026542944,-26.2768597414532
01:25:15.811 PM,8.12673346123376,-6.27769525343157,-25.6518693261585
01:25:15.874 PM,7.88331825815601,-5.11762496264899,-25.2428713819401
01:25:16.000 PM,7.56381471278472,-5.98487233146832,-25.037532751577
01:25:16.043 PM,9.37786202611031,-5.95501563739077,-24.6291362270187
01:25:16.097 PM,10.5933502671137,-5.46724346856135,-24.0392121202776
01:25:16.195 PM,10.7138977819968,-4.05028891244612,-23.5527142314784
01:25:16.232 PM,10.7317030508931,-4.21648859857846,-22.9435941824469
01:25:16.323 PM,10.2204946648216,-2.80197089697276,-22.5879018181728
01:25:16.417 PM,11.1074819168476,-3.16948605161932,-22.0965038917924
01:25:16.463 PM,12.9463592680337,-2.99574838876097,-21.4541705763171
01:25:16.606 PM,11.4685875384798,-2.09680637460681,-21.4192666009897
