Time,Roll2,Pitch2,Yaw2,AccX2,AccY2,AccZ2,RotX2,RotY2,RotZ2,Roll1,Pitch1,Yaw1,AccX1,AccY1,AccZ1,RotX1,RotY1,RotZ1
1900-01-01 13:25:10.935,18.81,3.06,-54.53,0.05,0.31,0.91,-1.37,1.25,0.03,27.7,0.01,-47.44,0.0,0.46,0.88,-0.52,-0.34,-0.82
1900-01-01 13:25:10.967,19.26,3.34,-54.53,0.06,0.32,0.91,-1.41,1.31,0.1,27.72,0.24,-47.41,0.0,0.46,0.88,-0.4,-0.32,-1.02
1900-01-01 13:25:11.057,19.01,3.11,-54.53,0.05,0.31,0.91,-1.43,1.24,-0.05,27.58,0.0,-47.41,0.0,0.46,0.88,-0.66,-0.22,-1.05
1900-01-01 13:25:11.150,19.06,3.33,-54.54,0.06,0.31,0.9,-1.27,1.24,0.03,27.82,0.14,-47.41,0.0,0.46,0.88,-0.56,-0.31,-1.03
1900-01-01 13:25:11.197,18.98,3.24,-54.55,0.05,0.31,0.91,-1.22,1.28,0.01,27.65,0.11,-47.41,0.0,0.46,0.88,-0.59,-0.27,-0.99
1900-01-01 13:25:11.289,18.89,3.19,-54.55,0.05,0.31,0.91,-1.38,1.25,0.06,27.73,0.0,-47.4,0.0,0.46,0.88,-0.43,-0.34,-1.0
1900-01-01 13:25:11.382,19.02,3.1,-54.55,0.05,0.31,0.91,-1.42,1.26,0.08,27.77,0.14,-47.4,0.0,0.46,0.88,-0.53,-0.32,-0.9
1900-01-01 13:25:11.430,19.06,3.25,-54.55,0.05,0.31,0.91,-1.28,1.38,0.05,27.54,0.03,-47.38,0.0,0.46,0.88,-0.51,-0.16,-1.06
1900-01-01 13:25:11.524,19.34,3.17,-54.55,0.05,0.32,0.91,-1.44,1.4,0.11,27.7,0.1,-47.38,0.0,0.46,0.88,-0.72,0.05,-0.95
1900-01-01 13:25:11.578,18.98,3.18,-54.54,0.05,0.31,0.91,-1.41,1.44,0.07,27.72,0.14,-47.37,0.0,0.46,0.88,-0.68,-0.01,-0.98
1900-01-01 13:25:11.666,18.96,3.1,-54.54,0.05,0.31,0.91,-1.52,1.4,0.11,27.64,-0.18,-47.36,0.0,0.46,0.88,-0.85,0.15,-0.92
1900-01-01 13:25:11.759,18.81,3.3,-54.53,0.06,0.31,0.91,-1.5,1.43,0.04,27.4,-0.1,-47.34,0.0,0.46,0.88,-0.82,0.03,-1.1
1900-01-01 13:25:11.805,18.78,3.25,-54.54,0.05,0.31,0.91,-1.4,1.27,0.07,27.53,-0.2,-47.35,0.0,0.46,0.88,-0.6,-0.15,-0.99
1900-01-01 13:25:11.899,18.82,3.26,-54.53,0.05,0.31,0.91,-1.48,1.31,0.11,27.55,-0.2,-47.34,0.0,0.46,0.88,-0.49,-0.26,-0.94
1900-01-01 13:25:11.992,18.92,3.44,-54.53,0.06,0.31,0.9,-1.82,1.35,0.07,27.56,0.19,-47.33,0.0,0.46,0.89,-0.56,-0.28,-1.05
1900-01-01 13:25:12.039,18.34,3.46,-54.52,0.06,0.3,0.91,-1.69,1.26,-0.11,27.1,-0.21,-47.33,0.0,0.45,0.88,-0.65,-0.45,-1.37
1900-01-01 13:25:12.131,20.34,2.45,-54.55,0.04,0.34,0.91,-0.66,1.53,-0.56,27.47,0.24,-47.38,0.0,0.46,0.88,-0.36,-0.85,-1.5
1900-01-01 13:25:12.225,19.3,2.66,-54.64,0.04,0.32,0.91,-0.56,1.44,0.31,27.36,-0.88,-47.45,-0.02,0.45,0.88,-0.38,-0.24,-0.82
1900-01-01 13:25:12.271,18.77,3.73,-54.6,0.06,0.31,0.91,-1.11,1.21,-0.11,26.76,0.4,-47.42,0.01,0.45,0.89,0.23,-1.15,-1.2
1900-01-01 13:25:12.366,18.73,2.92,-54.63,0.05,0.31,0.9,-1.28,1.16,-0.06,27.78,-0.1,-47.45,0.0,0.46,0.88,-0.32,-0.29,-0.92
1900-01-01 13:25:12.427,18.81,3.1,-54.65,0.05,0.31,0.91,-1.19,1.08,0.17,27.99,-0.25,-47.43,0.0,0.47,0.88,-0.34,-0.5,-0.58
1900-01-01 13:25:12.507,18.92,3.38,-54.63,0.06,0.31,0.91,-1.37,1.27,0.06,27.03,0.24,-47.36,0.0,0.45,0.89,-0.03,-0.74,-0.97
1900-01-01 13:25:12.600,18.69,3.1,-54.63,0.05,0.31,0.91,-0.9,1.16,0.01,27.4,-0.17,-47.35,0.0,0.46,0.88,-0.37,-0.44,-0.92
1900-01-01 13:25:12.646,18.96,3.34,-54.64,0.06,0.31,0.91,-1.18,1.15,0.18,27.77,0.14,-47.33,0.0,0.46,0.88,-0.41,-0.45,-0.57
1900-01-01 13:25:12.753,18.82,3.18,-54.62,0.05,0.31,0.9,-1.3,1.38,0.0,27.55,0.03,-47.26,0.0,0.46,0.88,-0.39,-0.36,-1.09
1900-01-01 13:25:12.795,19.21,3.3,-54.63,0.06,0.32,0.91,-1.18,1.17,-0.03,27.67,0.45,-47.27,0.01,0.46,0.88,-0.63,-0.28,-1.01
1900-01-01 13:25:12.892,19.13,3.07,-54.64,0.05,0.31,0.9,-1.37,1.32,0.04,27.85,0.18,-47.26,0.0,0.47,0.88,-0.6,-0.27,-0.96
1900-01-01 13:25:12.978,18.69,3.28,-54.64,0.05,0.31,0.91,-1.59,1.5,0.13,27.39,0.11,-47.25,0.0,0.46,0.88,-0.61,-0.18,-1.08
1900-01-01 13:25:13.101,18.98,3.1,-54.63,0.05,0.31,0.91,-1.56,1.09,0.02,27.75,0.1,-47.26,0.0,0.46,0.88,-0.8,-0.05,-0.99
1900-01-01 13:25:13.154,18.87,3.18,-54.64,0.05,0.31,0.91,-1.42,1.43,0.04,27.6,-0.06,-47.25,0.0,0.46,0.88,-0.76,-0.04,-1.1
1900-01-01 13:25:13.198,18.81,3.27,-54.64,0.05,0.31,0.91,-1.21,1.36,-0.05,27.4,0.01,-47.26,0.0,0.46,0.88,-0.87,-0.1,-1.07
1900-01-01 13:25:13.514,18.8,3.15,-54.66,0.05,0.31,0.91,-1.29,1.23,-0.01,27.52,-0.02,-47.27,0.0,0.46,0.88,-0.53,-0.26,-1.07
1900-01-01 13:25:13.514,18.81,3.23,-54.67,0.05,0.31,0.91,-1.26,1.31,0.08,27.52,-0.04,-47.27,0.0,0.46,0.88,-0.48,-0.28,-0.98
1900-01-01 13:25:13.514,18.68,3.18,-54.66,0.05,0.31,0.91,-1.47,1.27,-0.02,27.33,-0.03,-47.26,0.0,0.46,0.88,-0.61,-0.19,-1.08
1900-01-01 13:25:13.514,18.77,3.32,-54.67,0.06,0.31,0.91,-1.37,1.26,0.07,27.55,-0.1,-47.27,0.0,0.46,0.88,-0.63,-0.17,-0.97
1900-01-01 13:25:13.594,18.59,3.22,-54.67,0.05,0.31,0.91,-1.27,1.37,0.01,27.42,-0.06,-47.26,0.0,0.46,0.88,-0.69,-0.22,-0.98
1900-01-01 13:25:13.665,18.82,3.26,-54.68,0.05,0.31,0.91,-1.33,1.21,-0.01,27.69,0.1,-47.25,0.0,0.46,0.88,-0.47,-0.35,-0.97
1900-01-01 13:25:13.736,18.94,3.19,-54.69,0.05,0.31,0.91,-1.58,1.24,0.09,27.59,-0.02,-47.24,0.0,0.46,0.88,-0.58,-0.23,-1.02
