,Time,Roll1,Pitch1,Yaw1,AccX1,AccY1,AccZ1,RotX1,RotY1,RotZ1,Roll2,Pitch2,Yaw2,AccX2,AccY2,AccZ2,RotX2,RotY2,RotZ2
0,1900-01-01 12:03:53.785,29.09,1.63,0.14,0.03,0.48,0.87,1.6,-1.49,-0.34,35.01,15.72,-0.14,0.26,0.55,0.74,2.41,0.02,-0.2
1,1900-01-01 12:03:53.785,30.3,2.97,0.25,0.05,0.51,0.86,-0.27,0.08,-0.72,37.82,15.86,-0.18,0.27,0.6,0.72,-0.12,1.56,-0.04
2,1900-01-01 12:03:53.832,29.73,2.33,0.3,0.04,0.49,0.86,-1.6,0.07,-0.79,36.53,15.84,-0.2,0.26,0.58,0.73,-0.99,1.63,0.36
3,1900-01-01 12:03:53.879,29.94,2.51,0.34,0.04,0.5,0.86,-0.72,-0.31,-0.69,36.81,15.71,-0.15,0.26,0.58,0.73,-0.94,1.37,0.08
4,1900-01-01 12:03:53.974,29.73,2.44,0.39,0.04,0.49,0.87,-0.53,-0.5,-0.72,37.06,15.79,-0.15,0.26,0.58,0.73,-1.21,1.26,-0.02
5,1900-01-01 12:03:54.069,29.85,2.28,0.44,0.04,0.5,0.86,-0.37,-0.47,-0.96,37.03,15.74,-0.16,0.26,0.58,0.73,-0.9,1.18,-0.15
6,1900-01-01 12:03:54.116,29.7,2.44,0.45,0.04,0.49,0.87,-0.4,-0.46,-0.91,37.03,15.89,-0.19,0.27,0.58,0.73,-1.21,1.31,-0.09
7,1900-01-01 12:03:54.211,29.53,2.33,0.47,0.04,0.49,0.87,-0.31,-0.4,-0.91,36.84,15.82,-0.21,0.26,0.58,0.73,-1.17,1.24,-0.04
8,1900-01-01 12:03:54.258,30.17,2.63,0.49,0.05,0.5,0.86,-0.94,-0.3,-0.79,37.24,15.55,-0.23,0.26,0.59,0.73,-1.21,1.15,-0.02
9,1900-01-01 12:03:54.351,29.59,2.43,0.53,0.04,0.49,0.87,-1.56,-0.42,-0.86,36.76,15.81,-0.24,0.26,0.58,0.73,-1.12,1.4,0.24
10,1900-01-01 12:03:54.470,29.64,2.55,0.56,0.04,0.49,0.87,-1.33,-0.33,-0.89,37.16,15.9,-0.21,0.27,0.59,0.73,-0.94,1.16,0.47
11,1900-01-01 12:03:54.494,29.63,2.58,0.58,0.04,0.49,0.87,-1.95,-0.24,-1.1,36.58,15.68,-0.15,0.26,0.58,0.73,0.38,0.63,0.66
12,1900-01-01 12:03:54.588,29.01,2.16,0.57,0.04,0.48,0.87,-2.34,-0.79,-1.31,37.13,15.48,-0.06,0.26,0.59,0.73,4.55,-1.94,0.87
13,1900-01-01 12:03:54.635,29.88,1.82,0.53,0.03,0.5,0.86,-2.12,-0.37,-1.17,40.41,16.0,0.07,0.27,0.64,0.7,3.8,-6.68,8.63
14,1900-01-01 12:03:54.739,27.89,3.32,0.51,0.06,0.47,0.89,-1.69,-0.27,-0.51,36.16,20.5,1.37,0.33,0.56,0.69,-1.27,5.14,-4.79
15,1900-01-01 12:03:54.883,30.07,1.71,0.59,0.03,0.5,0.86,3.25,-0.9,-0.89,40.51,17.13,0.63,0.28,0.63,0.68,-1.87,-2.05,0.11
16,1900-01-01 12:03:54.883,30.67,1.05,0.62,0.02,0.51,0.86,-0.62,-1.08,1.18,38.38,15.89,0.64,0.27,0.6,0.71,-4.02,-7.73,2.57
17,1900-01-01 12:03:54.982,29.19,1.99,0.95,0.04,0.5,0.89,-4.56,-0.9,1.53,38.48,18.35,1.02,0.31,0.61,0.7,-3.68,4.8,-2.73
18,1900-01-01 12:03:55.058,27.92,1.75,1.34,0.03,0.46,0.87,-0.97,-0.37,2.52,38.21,18.04,0.6,0.3,0.6,0.7,-1.6,3.69,-5.18
19,1900-01-01 12:03:55.097,29.02,4.48,1.89,0.08,0.49,0.88,-0.51,-1.47,0.19,38.58,18.17,-0.2,0.31,0.62,0.71,-0.13,2.6,-1.21
20,1900-01-01 12:03:55.210,26.9,5.62,2.07,0.1,0.45,0.89,0.59,0.17,-0.35,37.52,21.34,-0.39,0.35,0.58,0.67,-0.69,2.69,0.57
