Time,Roll2,Pitch2,Yaw2,AccX2,AccY2,AccZ2,RotX2,RotY2,RotZ2,Roll1,Pitch1,Yaw1,AccX1,AccY1,AccZ1,RotX1,RotY1,RotZ1
1900-01-01 15:13:10.799,30.25,22.82,0.38,0.39,0.51,0.78,-0.53,-0.23,-1.11,33.62,12.23,-0.11,0.2,0.53,0.78,-1.29,1.34,-0.05
1900-01-01 15:13:10.799,30.12,22.84,0.37,0.39,0.51,0.78,-0.51,-0.31,-0.95,33.38,12.34,-0.12,0.21,0.53,0.78,-1.15,1.27,-0.02
1900-01-01 15:13:10.898,30.18,22.87,0.38,0.39,0.51,0.78,-0.44,-0.37,-1.15,33.26,12.34,-0.13,0.21,0.53,0.78,-1.21,1.35,-0.16
1900-01-01 15:13:10.944,30.23,22.79,0.36,0.39,0.51,0.78,-0.57,-0.16,-1.05,33.4,12.39,-0.16,0.21,0.53,0.78,-1.38,1.22,0.13
1900-01-01 15:13:10.992,30.38,22.79,0.36,0.39,0.51,0.77,-0.44,-0.21,-1.11,33.56,12.21,-0.15,0.2,0.53,0.78,-1.29,1.31,-0.03
1900-01-01 15:13:11.086,30.14,22.88,0.35,0.39,0.51,0.78,-0.56,-0.32,-0.94,33.35,12.39,-0.17,0.21,0.53,0.78,-1.18,1.33,-0.02
1900-01-01 15:13:11.214,30.19,22.73,0.37,0.39,0.51,0.78,-0.37,-0.38,-1.05,33.47,12.33,-0.18,0.21,0.53,0.78,-1.18,1.33,0.05
1900-01-01 15:13:11.231,30.24,22.79,0.36,0.39,0.51,0.78,-0.37,-0.39,-1.03,33.4,12.31,-0.18,0.21,0.53,0.78,-1.24,1.16,0.01
1900-01-01 15:13:11.320,30.25,22.68,0.36,0.39,0.51,0.78,-0.51,-0.16,-0.98,33.37,12.26,-0.19,0.2,0.53,0.78,-1.3,1.36,-0.03
1900-01-01 15:13:11.376,30.28,22.84,0.37,0.39,0.51,0.78,-0.8,0.15,-0.79,33.24,12.36,-0.2,0.21,0.53,0.78,-1.36,1.52,0.06
1900-01-01 15:13:11.493,30.4,22.77,0.41,0.39,0.51,0.78,-0.47,-0.1,-0.83,33.32,12.26,-0.2,0.2,0.53,0.78,-1.36,1.25,0.08
1900-01-01 15:13:11.577,30.35,22.67,0.44,0.39,0.51,0.78,-0.45,-0.14,-1.07,33.14,12.3,-0.19,0.21,0.53,0.78,-1.33,1.5,-0.05
